Country,Starbucks,Teavana,EvolutionFresh,CoffeeHouse,TotalStore,CompanyOwned,Licensed,Franchise,JointVenture,COMMONWEALTH OF INDEPENDENT STATES,Population,PopulationDensity,GDP,Literacy,Phones
Afghanistan,0,0,0,0,0,0,0,0,0,ASIA,31056997,48,700,36,"3,2"
Albania,0,0,0,0,0,0,0,0,0,EASTERN EUROPE,3581655,"124,6",4500,"86,5","71,2"
Algeria,0,0,0,0,0,0,0,0,0,NORTHERN AFRICA,32930091,"13,8",6000,70,"78,1"
American Samoa,0,0,0,0,0,0,0,0,0,OCEANIA,57794,"290,4",8000,97,"259,5"
Andorra,1,0,0,0,1,0,1,0,0,WESTERN EUROPE,71201,"152,1",19000,100,"497,2"
Angola,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,12127071,"9,7",1900,42,"7,8"
Anguilla,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,13477,"132,1",8600,95,460
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,69108,156,11000,89,"549,9"
Argentina,108,0,0,0,108,0,107,0,1,LATIN AMERICA & CARIBBEAN,39921833,"14,4",11200,"97,1","220,4"
Armenia,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,2976372,"99,9",3500,"98,6","195,7"
Aruba,3,0,0,0,3,0,3,0,0,LATIN AMERICA & CARIBBEAN,71891,"372,5",28000,97,"516,1"
Australia,22,0,0,0,22,0,22,0,0,OCEANIA,20264082,"2,6",29000,100,"565,5"
Austria,18,0,0,0,18,17,1,0,0,WESTERN EUROPE,8192880,"97,7",30000,98,"452,2"
Azerbaijan,4,0,0,0,4,0,4,0,0,COMMONWEALTH OF INDEPENDENT STATES,7961619,"91,9",3400,97,"137,1"
Bahamas,10,0,0,0,10,0,10,0,0,LATIN AMERICA & CARIBBEAN,13940,"25,21",16700,"95,6","460,6"
Bahrain,21,0,0,0,21,0,21,0,0,NEAR EAST,698585,"1050,5",16900,"89,1","281,3"
Bangladesh,0,0,0,0,0,0,0,0,0,ASIA,"1,47E+08","1023,4",1900,"43,1","7,3"
Barbados,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,279912,"649,5",15700,"97,4","481,9"
Belarus,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,10293011,"49,6",6100,"99,6","319,1"
Belgium,19,0,0,0,19,0,19,0,0,WESTERN EUROPE,10379067,340,29100,98,"462,6"
Belize,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,287730,"12,5",4900,"94,1","115,7"
Benin,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,7862944,"69,8",1100,"40,9","9,7"
Bermuda,0,0,0,0,0,0,0,0,0,NORTHERN AMERICA,65773,1241,36000,98,"851,4"
Bhutan,0,0,0,0,0,0,0,0,0,ASIA,2279723,"48,5",1300,"42,2","14,3"
Bolivia,4,0,0,0,4,0,4,0,0,LATIN AMERICA & CARIBBEAN,8989046,"8,2",2400,"87,2","71,9"
Bosnia & Herzegovina,0,0,0,0,0,0,0,0,0,EASTERN EUROPE,4498976,88,6100,,"215,4"
Botswana,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,1639833,"2,7",9000,"79,8","80,5"
Brazil,102,0,0,0,102,102,0,0,0,LATIN AMERICA & CARIBBEAN,188000000,"22,1",7600,"86,4","225,3"
British Virgin Is.,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,23098,151,16000,"97,8","506,5"
Brunei Darussalam,5,0,0,0,5,0,5,0,0,ASIA,379444,"65,8",18600,"93,9","237,2"
Bulgaria,5,0,0,0,5,0,5,0,0,EASTERN EUROPE,7385367,"66,6",7600,"98,6","336,3"
Burkina Faso,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,13902972,"50,7",1100,"26,6",7
Burma,0,0,0,0,0,0,0,0,0,ASIA,47382633,"69,8",1800,"85,3","10,1"
Burundi,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,8090068,"290,7",600,"51,6","3,4"
Cambodia,4,0,0,0,4,0,4,0,0,ASIA,13881427,"76,7",1900,"69,4","2,6"
Cameroon,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,17340702,"36,5",1800,79,"5,7"
Canada,1415,53,0,0,1468,1097,371,0,0,NORTHERN AMERICA,33098932,"3,3",29800,97,"552,2"
Cape Verde,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,420979,"104,4",1400,"76,6","169,6"
Cayman Islands,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,45436,"173,4",35000,98,"836,3"
Central African Rep.,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,4303356,"6,9",1100,51,"2,3"
Chad,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,9944201,"7,7",1200,"47,5","1,3"
Chile,96,0,0,0,96,0,96,0,0,LATIN AMERICA & CARIBBEAN,16134219,"21,3",9900,"96,2",213
China,2734,0,0,0,2734,1339,175,0,1220,ASIA,1310000000,"136,9",5000,"90,9","266,7"
Colombia,11,0,0,0,11,0,11,0,0,LATIN AMERICA & CARIBBEAN,43593035,"38,3",6300,"92,5","176,2"
Comoros,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,690948,"318,4",700,"56,5","24,5"
Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,2345410,"94,69",700,"65,5",
Republic of the Congo,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,342000,"93,86",700,"83,8",
Cook Islands,0,0,0,0,0,0,0,0,0,OCEANIA,21388,"89,1",5000,95,"289,9"
Costa Rica,11,0,0,0,11,0,11,0,0,LATIN AMERICA & CARIBBEAN,4075261,"79,8",9100,96,"340,7"
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,17654843,"54,8",1400,"50,9","14,6"
Croatia,0,0,0,0,0,0,0,0,0,EASTERN EUROPE,4494749,"79,5",10600,"98,5","420,4"
Cuba,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,11382820,"102,7",2900,97,"74,7"
Cyprus,10,0,0,0,10,0,10,0,0,NEAR EAST,784301,"84,8",19200,"97,6",
Czech Republic,28,0,0,0,28,0,0,0,28,EASTERN EUROPE,10235455,"129,8",15700,"99,9","314,3"
Denmark,21,0,0,0,21,0,21,0,0,WESTERN EUROPE,5450661,"126,5",31100,100,"614,6"
Djibouti,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,486530,"21,2",1300,"67,9","22,8"
Dominica,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,68910,"91,4",5400,94,"304,8"
Dominican Republic,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,9183984,"188,5",6000,"84,7","97,4"
East Timor,0,0,0,0,0,0,0,0,0,ASIA,1062777,"70,8",500,"58,6",
Ecuador,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,13547510,"47,8",3300,"92,5","125,6"
Egypt,31,0,0,0,31,0,31,0,0,NORTHERN AFRICA,78887007,"78,8",4000,"57,7","131,8"
El Salvador,11,0,0,0,11,0,11,0,0,LATIN AMERICA & CARIBBEAN,6822378,"324,3",4800,"80,2","142,4"
Equatorial Guinea,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,540109,"19,3",2700,"85,7","18,5"
